Compound,SMILES,Affinities
,,TBPS binding (IC50)
1,C([C@@H]1[C@]2(C)[C@]([H])([C@@]3([H])[C@]([H])(CC2)[C@]2([H])[C@@]([H])(C[C@](C)(O)CC2)CC3)CC1)(=O)CO,86
2,C([C@@H]1[C@]2(C)[C@]([H])([C@@]3([H])[C@]([H])(CC2)[C@]2([H])[C@@]([H])(C[C@](C(F)F)(O)CC2)CC3)CC1)(=O)C,33
3,C([C@@H]1[C@]2(C)[C@]([H])([C@@]3([H])[C@]([H])(CC2)[C@]2([H])[C@@]([H])(C[C@](CC=O)(O)CC2)CC3)CC1)(=O)CO,170
4,C([C@@H]1[C@]2(C)[C@]([H])([C@@]3([H])[C@]([H])(CC2)[C@]2([H])[C@@]([H])(C[C@](CC=O)(O)CC2)CC3)CC1)(=O)C,41
5,C([C@@H]1[C@]2(C)[C@]([H])([C@@]3([H])[C@]([H])(CC2)[C@]2([H])[C@]([H])(C[C@](C)(O)CC2)CC3)CC1)(=O)C,93
6,C([C@@H]1[C@]2(C)[C@]([H])([C@@]3([H])[C@]([H])(CC2)[C@]2([H])[C@]([H])(C[C@](CC=O)(O)CC2)CC3)CC1)(=O)CO,94
,,
,,
,,
,,
,,
,,
