Compound,SMILES,Affinities
,,α7 nAChR (EC50)
2,CCOc4ccc(C(COC)NC(=O)C1CC13CCc2ccccc23)cc4,420
3,CCOc4ccc(C(COC)NC(=O)C1CC13CCc2ccccc23)cc4,690
4,CCOc4ccc(C(COC)NC(=O)C1CC13CCc2cc(F)ccc23)cc4,590
5,CCOc4ccc(C(COC)NC(=O)C1CC13CCc2ccc(F)cc23)cc4,480
A1,O=C(NC2(c1ccc(F)cc1)COC2)C3CC35CCc4ccccc45,3200
A3,CCOc4ccc(C(NC(=O)C1CC13CCc2ccc(F)cc23)OC)cc4,700
A6,O=C(NC2(c1ccc(F)cc1)COC2)C3CC35CCc4ccc(F)cc45,820
A8,O=C(NC(CO)C1CCCCC1)C2CC24CCc3ccccc34,630
A12,CCOc4ccc(C(NC(=O)C1CC13CCc2ccc(F)cc23)C(F)F)cc4,3000
A13,CCOc4ccc(C(CF)NC(=O)C1CC13CCc2ccc(F)cc23)cc4,790
A15,O=C(NC(CO)C1CCCCC1)C2CC24CCc3ccc(F)cc34,770
B1,CCOc4ccc(C(NC(=O)C1CC13CCc2ccccc23)OC)cc4,740
