solute_name,solvent_name,temperature,pressure,solubility,
KI,Glycol(0.00)/Water,30 °C,Not found,153.20 g/100g
KI,Glycol(20.30)/Water,30 °C,Not found,126.80 g/100g
KI,Glycol(39.30)/Water,30 °C,Not found,104.00 g/100g
KI,Glycol(59.08)/Water,30 °C,Not found,83.08 g/100g
KI,Glycol(83.41)/Water,30 °C,Not found,62.00 g/100g
KI,Glycol(100.00)/Water,30 °C,Not found,50.58 g/100g
NaCl,Glycol(0.00)/Water,50 °C,Not found,36.09 g/100g
NaCl,Glycol(19.17)/Water,50 °C,Not found,28.44 g/100g
NaCl,Glycol(38.99)/Water,50 °C,Not found,21.46 g/100g
NaCl,Glycol(59.02)/Water,50 °C,Not found,15.54 g/100g
NaCl,Glycol(83.08)/Water,50 °C,Not found,10.40 g/100g
NaCl,Glycol(100.00)/Water,50 °C,Not found,7.09 g/100g
CuSO4.5H2O,Glycol(0.00)/Water,30 °C,Not found,38.22 g/100g
CuSO4.5H2O,Glycol(9.85)/Water,30 °C,Not found,34.16 g/100g
CuSO4.5H2O,Glycol(27.15)/Water,30 °C,Not found,21.98 g/100g
CuSO4.5H2O,Glycol(33.47)/Water,30 °C,Not found,17.43 g/100g
CuSO4.5H2O,Glycol(55.38)/Water,30 °C,Not found,10.20 g/100g
CuSO4.5H2O,Glycol(73.38)/Water,30 °C,Not found,10.08 g/100g
CuSO4.5H2O,Glycol(93.75)/Water,30 °C,Not found,30.92 g/100g
CuSO4.5H2O,Glycol(100.00)/Water,30 °C,Not found,46.88 g/100g
