solute_name,solvent_name,temperature,pressure,solubility,
NaCl,water(w%=0.000)/methanol,298.15 K,Not found,1.375 wt%
NaCl,water(w%=0.000)/methanol,323.15 K,Not found,1.235 wt%
NaCl,water(w%=9.999)/methanol,298.15 K,Not found,1.998 wt%
NaCl,water(w%=9.999)/methanol,323.15 K,Not found,2.098 wt%
NaCl,water(w%=20.007)/methanol,298.15 K,Not found,3.228 wt%
NaCl,water(w%=20.007)/methanol,323.15 K,Not found,3.552 wt%
NaCl,water(w%=39.998)/methanol,298.15 K,Not found,7.244 wt%
NaCl,water(w%=39.999)/methanol,323.15 K,Not found,7.929 wt%
NaCl,water(w%=49.999)/methanol,298.15 K,Not found,9.969 wt%
NaCl,water(w%=49.999)/methanol,323.15 K,Not found,10.751 wt%
NaCl,water(w%=59.996)/methanol,298.15 K,Not found,12.939 wt%
NaCl,water(w%=59.994)/methanol,323.15 K,Not found,13.767 wt%
NaCl,water(w%=79.997)/methanol,298.15 K,Not found,19.499 wt%
NaCl,water(w%=79.998)/methanol,323.15 K,Not found,20.212 wt%
NaCl,water(w%=89.999)/methanol,298.15 K,Not found,22.945 wt%
NaCl,water(w%=90.004)/methanol,323.15 K,Not found,23.521 wt%
NaCl,water(w%=100.000)/methanol,298.15 K,Not found,26.456 wt%
NaCl,water(w%=100.000)/methanol,323.15 K,Not found,26.865 wt%
KCI,water(w%=0.000)/methanol,298.15 K,Not found,0.539 wt%
KCI,water(w%=0.000)/methanol,323.15 K,Not found,0.630 wt%
KCI,water(w%=10.000)/methanol,298.15 K,Not found,0.825 wt%
KCI,water(w%=10.000)/methanol,323.15 K,Not found,1.123 wt%
KCI,water(w%=19.999)/methanol,298.15 K,Not found,1.493 wt%
KCI,water(w%=19.999)/methanol,323.15 K,Not found,2.150 wt%
KCI,water(w%=39.999)/methanol,298.15 K,Not found,4.463 wt%
KCI,water(w%=39.999)/methanol,323.15 K,Not found,6.285 wt%
KCI,water(w%=49.999)/methanol,298.15 K,Not found,6.874 wt%
KCI,water(w%=49.999)/methanol,323.15 K,Not found,9.433 wt%
KCI,water(w%=59.994)/methanol,298.15 K,Not found,9.482 wt%
KCI,water(w%=59.994)/methanol,323.15 K,Not found,13.094 wt%
KCI,water(w%=79.998)/methanol,298.15 K,Not found,17.503 wt%
KCI,water(w%=79.998)/methanol,323.15 K,Not found,21.472 wt%
KCI,water(w%=90.004)/methanol,298.15 K,Not found,21.924 wt%
KCI,water(w%=90.004)/methanol,323.15 K,Not found,25.868 wt%
KCI,water(w%=100.000)/methanol,298.15 K,Not found,26.429 wt%
KCI,water(w%=100.000)/methanol,323.15 K,Not found,30.020 wt%
NaCl,water(w%=0.000)/ethanol,298.15 K,Not found,0.055 wt%
NaCl,water(w%=0.000)/ethanol,323.15 K,Not found,0.065 wt%
NaCl,water(w%=10.000)/ethanol,298.15 K,Not found,0.350 wt%
NaCl,water(w%=10.000)/ethanol,323.15 K,Not found,0.368 wt%
NaCl,water(w%=19.998)/ethanol,298.15 K,Not found,1.408 wt%
NaCl,water(w%=19.998)/ethanol,323.15 K,Not found,1.596 wt%
NaCl,water(w%=40.000)/ethanol,298.15 K,Not found,6.008 wt%
NaCl,water(w%=40.000)/ethanol,323.15 K,Not found,6.650 wt%
NaCl,water(w%=49.997)/ethanol,298.15 K,Not found,8.910 wt%
NaCl,water(w%=49.997)/ethanol,323.15 K,Not found,9.777 wt%
NaCl,water(w%=59.996)/ethanol,298.15 K,Not found,12.066 wt%
NaCl,water(w%=59.996)/ethanol,323.15 K,Not found,12.953 wt%
NaCl,water(w%=79.996)/ethanol,298.15 K,Not found,18.602 wt%
NaCl,water(w%=79.996)/ethanol,323.15 K,Not found,19.442 wt%
NaCl,water(w%=89.996)/ethanol,298.15 K,Not found,22.397 wt%
NaCl,water(w%=89.996)/ethanol,323.15 K,Not found,23.037 wt%
NaCl,water(w%=100.000)/ethanol,298.15 K,Not found,26.456 wt%
NaCl,water(w%=100.000)/ethanol,323.15 K,Not found,26.865 wt%
NaCl,water(w%=0.000)/ethanol,348.15 K,Not found,0.077 wt%
NaCl,water(w%=10.000)/ethanol,348.15 K,Not found,0.404 wt%
NaCl,water(w%=19.998)/ethanol,348.15 K,Not found,1.903 wt%
NaCl,water(w%=49.998)/ethanol,348.15 K,Not found,10.216 wt%
NaCl,water(w%=79.995)/ethanol,348.15 K,Not found,20.292 wt%
NaCl,water(w%=89.959)/ethanol,348.15 K,Not found,23.758 wt%
NaCl,water(w%=100.000)/ethanol,348.15 K,Not found,27.408 wt%
